"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.455206542E0,5.604644825E-2,2.468737389E-1,5.454048872E-2,2.589643069E-1
1.465261542E0,6.812883317E-3,2.549224130E-1,7.204120517E-2,2.649939381E-1
1.475315542E0,-5.777279756E-2,2.986905215E-1,3.146386743E-2,3.058491437E-1
1.485370542E0,-3.865738164E-2,3.162821073E-1,3.998501480E-2,3.211348096E-1
1.495425542E0,8.094108766E-3,3.054497018E-1,6.063094854E-2,3.115142803E-1
1.505479542E0,4.893013555E-2,3.053802295E-1,6.181734860E-2,3.153928144E-1
1.515534542E0,7.404500029E-2,3.240847781E-1,2.573418081E-2,3.334304328E-1
1.525589542E0,1.034690300E-1,3.091535474E-1,3.455879867E-2,3.278354261E-1
1.535643542E0,1.293634154E-1,2.803027093E-1,6.374166727E-2,3.152261129E-1
1.545698542E0,1.001089184E-1,2.985412713E-1,5.235479951E-2,3.192016780E-1
1.555753542E0,5.963372419E-2,3.342557904E-1,3.782680750E-2,3.416342808E-1
1.565807542E0,5.231598405E-2,3.180022120E-1,4.545216143E-2,3.254662317E-1
1.575862542E0,3.838827268E-2,2.794409028E-1,6.220911205E-2,2.888439912E-1
1.585917542E0,2.659340174E-2,2.936164539E-1,5.142099917E-2,2.992690264E-1
1.595971542E0,1.783861699E-2,3.019200300E-1,3.823962092E-2,3.048543741E-1
1.606026542E0,4.842109888E-2,2.800550249E-1,5.948723316E-2,2.903689906E-1
1.616081542E0,7.051271102E-2,2.583706439E-1,6.830951214E-2,2.763939607E-1
1.626135542E0,6.753533622E-2,2.810612211E-1,4.554630160E-2,2.926275743E-1
1.636190542E0,7.013653405E-2,3.012686137E-1,3.356126368E-2,3.111402729E-1
1.646245542E0,7.750717322E-2,3.020414694E-1,4.178537250E-2,3.146147303E-1
1.656299542E0,6.215081805E-2,3.062383084E-1,5.764536023E-2,3.177540138E-1
1.666354542E0,5.157924401E-2,3.177548017E-1,5.374643683E-2,3.263697472E-1
1.676409542E0,4.135392564E-2,3.235532296E-1,2.829350710E-2,3.274100825E-1
1.686463542E0,5.672929797E-2,2.950714604E-1,5.193906248E-2,3.049312156E-1
1.696518542E0,6.465531299E-2,2.761305748E-1,6.555488884E-2,2.910770470E-1
1.706573542E0,6.022506955E-2,2.803583675E-1,5.342367053E-2,2.916881242E-1
1.716627542E0,5.370675343E-2,2.859288089E-1,4.398860335E-2,2.942357836E-1
1.726682542E0,5.647239507E-2,2.617307830E-1,5.386455059E-2,2.731181502E-1
1.736737542E0,4.790239147E-2,2.669116170E-1,4.712271094E-2,2.752398959E-1
1.746791542E0,1.757854380E-2,2.963449475E-1,4.995919526E-2,3.010402868E-1
1.756846542E0,-4.808023819E-3,3.027063892E-1,4.710926235E-2,3.063879204E-1
1.766901542E0,1.396060653E-2,2.943011263E-1,5.264014363E-2,2.992975713E-1
1.776956542E0,2.922341539E-2,3.042618034E-1,5.502697706E-2,3.105756288E-1
1.787010542E0,3.291284401E-2,3.180885315E-1,4.439089179E-2,3.228530942E-1
1.797066542E0,6.091412280E-2,3.148575794E-1,4.199002504E-2,3.234331273E-1
1.807120542E0,1.029913947E-1,2.845477331E-1,5.425631404E-2,3.074384286E-1
1.817175542E0,9.703661769E-2,2.712313938E-1,5.320206106E-2,2.929386172E-1
1.827230542E0,7.659489795E-2,2.634102312E-1,4.406344771E-2,2.778368509E-1
1.837285542E0,6.433307659E-2,2.416953168E-1,4.959491372E-2,2.549804431E-1
1.847339542E0,2.540098088E-2,2.468615146E-1,6.560634434E-2,2.566904938E-1
1.857394542E0,-1.493925227E-2,2.833973299E-1,5.182855010E-2,2.884847075E-1
1.867449542E0,-3.489841683E-2,3.049071715E-1,2.787075341E-2,3.081607724E-1
1.877503542E0,1.928466540E-3,3.069676390E-1,4.462887347E-2,3.102008812E-1
1.887558542E0,6.604822482E-2,2.969661593E-1,5.510065198E-2,3.091720389E-1
1.897613542E0,8.627811547E-2,3.034692681E-1,4.057499886E-2,3.180940748E-1
1.907667542E0,8.646699881E-2,3.053099533E-1,4.880203128E-2,3.210488245E-1
1.917722542E0,8.871979396E-2,2.794410307E-1,5.538190305E-2,2.983716586E-1
1.927777542E0,7.892964548E-2,2.510767358E-1,6.331014276E-2,2.706983383E-1
1.937831542E0,5.082586682E-2,2.607646585E-1,4.653565049E-2,2.697165969E-1
1.947886542E0,4.388984479E-2,2.717523807E-1,4.518260479E-2,2.789572416E-1
1.957941542E0,3.523206901E-2,2.652515560E-1,4.816936255E-2,2.718822799E-1
1.967995542E0,2.514188527E-2,2.621851664E-1,5.205366790E-2,2.684823276E-1
1.978050542E0,-1.218773302E-4,2.728115490E-1,3.408400476E-2,2.749324926E-1
