"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.620665500E0,2.441743389E-3,-5.038680974E-3,2.880510874E-4,5.606548864E-3
1.630719500E0,9.114909917E-4,-1.310072839E-4,-1.791344956E-3,2.014173648E-3
1.640774500E0,-1.426739618E-5,1.397870481E-3,6.828643382E-5,1.399610116E-3
1.650829500E0,-3.561597783E-3,-1.764633693E-3,2.810731530E-4,3.984709896E-3
1.660883500E0,3.456301056E-4,3.375936300E-3,2.026289701E-3,3.952499971E-3
1.670938500E0,4.108776338E-4,7.910728455E-4,-5.540468264E-4,1.049563987E-3
1.680993500E0,-6.305407733E-4,8.742418140E-4,2.433168702E-4,1.105026477E-3
1.691047500E0,-5.290145054E-5,9.606592357E-5,-8.549706545E-4,8.619756639E-4
1.701102500E0,-7.081269287E-4,-1.972336322E-4,7.108584978E-4,1.022577458E-3
1.711156500E0,-1.389629673E-3,1.084972173E-4,-2.211694140E-3,2.614274898E-3
1.721211500E0,1.850664616E-3,-9.237537161E-4,-1.966301352E-4,2.077725645E-3
1.731266500E0,-4.748073407E-4,-1.166100614E-3,-2.571370918E-3,2.863071961E-3
1.741320500E0,-7.572085597E-4,2.041109838E-3,1.109478064E-3,2.443447512E-3
1.751375500E0,1.739505213E-3,-7.110005245E-4,6.924755871E-5,1.880477428E-3
1.761430500E0,1.443739049E-3,1.109848730E-3,-1.003849320E-5,1.821056676E-3
1.771484500E0,1.224560663E-3,3.343364224E-4,1.943123993E-3,2.321004203E-3
1.781539500E0,2.298871987E-4,7.194280624E-4,7.372726686E-4,1.055460018E-3
1.791594500E0,1.681043301E-3,-1.276876777E-3,2.682898194E-4,2.127980336E-3
1.801648500E0,1.839671750E-3,2.457620576E-4,1.976140775E-3,2.711074233E-3
1.811703500E0,-4.788762890E-4,-3.329431638E-4,-1.898225863E-3,1.985808419E-3
1.821757500E0,-4.584034905E-4,-1.369677484E-3,-5.627050996E-6,1.444362086E-3
1.831812375E0,-7.031480782E-4,-1.875003800E-4,-7.217512466E-4,1.024938278E-3
1.841867375E0,4.862667993E-5,2.017258666E-3,3.183989786E-3,3.769547458E-3
1.851921375E0,4.401113838E-4,5.584023893E-5,6.976625882E-4,8.267703728E-4
1.861976375E0,3.283391707E-4,-9.148949757E-4,1.444029156E-3,1.740706647E-3
1.872031375E0,2.411197405E-3,-1.838570461E-4,3.004375380E-3,3.856675740E-3
1.882085375E0,-1.322324853E-3,3.219125792E-4,1.125404611E-3,1.765985919E-3
1.892140375E0,-1.075982582E-3,7.701227441E-4,1.114219427E-3,1.729830191E-3
